gRNA	gene	list	value
p27112174	ABI1	list	6
p27112180	ABI1	list	123
p27149695	ABI1	list	131
p27149701	ABI1	list	7
p27149733	ABI1	list	96
m133729449	ABL1	list	3
m133729456	ABL1	list	5
m133729467	ABL1	list	3
m133729488	ABL1	list	4
m133729532	ABL1	list	3
m133729594	ABL1	list	1
p133729441	ABL1	list	51
p133729469	ABL1	list	134
p133729492	ABL1	list	6
p133729502	ABL1	list	15
m179100447	ABL2	list	77
m179100544	ABL2	list	48
m179100554	ABL2	list	108
m179100597	ABL2	list	49
p179095768	ABL2	list	34
p179100489	ABL2	list	136
p179100503	ABL2	list	14
p179100524	ABL2	list	173
p179100556	ABL2	list	24
p179100578	ABL2	list	79
m8108265	ABLIM2	list	136
m8108274	ABLIM2	list	126
m8108279	ABLIM2	list	133
m8108294	ABLIM2	list	163
m8108316	ABLIM2	list	115
m8160405	ABLIM2	list	44
p8108286	ABLIM2	list	176
p8108299	ABLIM2	list	124
p8108320	ABLIM2	list	177
p8108331	ABLIM2	list	42
m26597238	ABT1	list	139
m26597359	ABT1	list	27
m26597388	ABT1	list	15
p26597221	ABT1	list	79
p26597240	ABT1	list	103
p26597266	ABT1	list	94
p26597293	ABT1	list	173
p26597300	ABT1	list	52
p26597313	ABT1	list	96
p26597361	ABT1	list	85
m127395233	ABTB1	list	49
m127395403	ABTB1	list	199
m127395808	ABTB1	list	103
m127395813	ABTB1	list	57
m127395855	ABTB1	list	28
m127395860	ABTB1	list	159
p127395220	ABTB1	list	15
p127395242	ABTB1	list	133
p127395252	ABTB1	list	177
p127395834	ABTB1	list	184
m132378487	ACAD11	list	70
m132378519	ACAD11	list	69
m132378564	ACAD11	list	173
m132378578	ACAD11	list	99
p132378460	ACAD11	list	131
p132378489	ACAD11	list	102
p132378501	ACAD11	list	92
p132378525	ACAD11	list	176
p132378547	ACAD11	list	77
p132378566	ACAD11	list	154
m128598565	ACAD9	list	22
m128598607	ACAD9	list	138
m128598614	ACAD9	list	1
m128598631	ACAD9	list	151
m128598636	ACAD9	list	66
p128598519	ACAD9	list	29
p128598525	ACAD9	list	197
p128598545	ACAD9	list	30
p128598551	ACAD9	list	127
p128598592	ACAD9	list	105
m160183168	ACAT2	list	100
m160183956	ACAT2	list	9
m160183968	ACAT2	list	86
p160183107	ACAT2	list	187
p160183121	ACAT2	list	7
p160183133	ACAT2	list	130
p160183141	ACAT2	list	181
p160183152	ACAT2	list	185
p160183940	ACAT2	list	138
p160183972	ACAT2	list	156
m180471277	ACBD6	list	21
m180471338	ACBD6	list	144
m180471378	ACBD6	list	41
p180471251	ACBD6	list	37
p180471256	ACBD6	list	156
p180471263	ACBD6	list	72
p180471279	ACBD6	list	57
p180471286	ACBD6	list	19
p180471344	ACBD6	list	166
p180471350	ACBD6	list	113
m67694254	ACD	list	141
m67694260	ACD	list	28
m67694316	ACD	list	107
m67694376	ACD	list	128
p67694194	ACD	list	89
p67694285	ACD	list	131
p67694333	ACD	list	143
p67694350	ACD	list	143
p67694355	ACD	list	65
p67694362	ACD	list	133
m100491721	ACHE	list	36
m100491729	ACHE	list	66
m100491735	ACHE	list	103
m100491767	ACHE	list	97
m100491773	ACHE	list	127
m100491779	ACHE	list	168
m100491816	ACHE	list	93
p100491631	ACHE	list	94
p100491656	ACHE	list	191
p100491821	ACHE	list	79
m23535193	ACIN1	list	151
m23538698	ACIN1	list	1
m23538715	ACIN1	list	137
m23538803	ACIN1	list	6
m23538815	ACIN1	list	20
p23538701	ACIN1	list	109
p23538719	ACIN1	list	84
p23538730	ACIN1	list	43
p23538735	ACIN1	list	48
p23538745	ACIN1	list	33
m40069993	ACLY	list	11
m40070008	ACLY	list	122
m40070029	ACLY	list	105
m40070097	ACLY	list	98
m40070116	ACLY	list	44
p40069998	ACLY	list	111
p40070033	ACLY	list	12
p40070039	ACLY	list	194
p40070062	ACLY	list	110
p40070105	ACLY	list	111
m41865159	ACO2	list	16
m41895784	ACO2	list	135
m41895810	ACO2	list	52
m41895824	ACO2	list	188
m41903807	ACO2	list	66
p41865164	ACO2	list	50
p41895716	ACO2	list	127
p41895844	ACO2	list	161
p41903797	ACO2	list	31
p41903813	ACO2	list	11
m264983	ACP1	list	152
m264989	ACP1	list	19
m272095	ACP1	list	163
m272137	ACP1	list	57
p264954	ACP1	list	160
p272032	ACP1	list	76
p272042	ACP1	list	102
p272054	ACP1	list	184
p272099	ACP1	list	130
p272185	ACP1	list	171
m70811980	ACRC	list	185
m70814198	ACRC	list	71
p70800656	ACRC	list	99
p70800697	ACRC	list	156
p70800703	ACRC	list	6
p70800708	ACRC	list	95
p70811990	ACRC	list	180
p70814182	ACRC	list	48
p70814187	ACRC	list	85
p70814200	ACRC	list	137
m131326625	ACSL6	list	28
m131326630	ACSL6	list	182
m131326651	ACSL6	list	167
m131329874	ACSL6	list	10
m131329908	ACSL6	list	77
p131329816	ACSL6	list	50
p131329824	ACSL6	list	2
p131329830	ACSL6	list	60
p131329859	ACSL6	list	95
p131329878	ACSL6	list	146
m33470722	ACSS2	list	51
m33500924	ACSS2	list	46
m33500940	ACSS2	list	198
m33500955	ACSS2	list	166
m33501214	ACSS2	list	186
m33501222	ACSS2	list	89
p33470688	ACSS2	list	165
p33500893	ACSS2	list	154
p33500928	ACSS2	list	75
p33501184	ACSS2	list	55
m179287950	ACTL6A	list	89
m179287986	ACTL6A	list	120
p179287878	ACTL6A	list	171
p179287892	ACTL6A	list	157
p179287902	ACTL6A	list	110
p179287911	ACTL6A	list	16
p179287920	ACTL6A	list	47
p179287966	ACTL6A	list	17
p179287976	ACTL6A	list	4
p179291144	ACTL6A	list	179
m100253076	ACTL6B	list	17
m100253081	ACTL6B	list	106
m100253086	ACTL6B	list	108
m100253168	ACTL6B	list	198
m100253443	ACTL6B	list	48
m100253971	ACTL6B	list	194
p100253037	ACTL6B	list	200
p100253066	ACTL6B	list	53
p100253094	ACTL6B	list	5
p100253446	ACTL6B	list	12
m111624641	ACTL7A	list	146
m111624669	ACTL7A	list	71
m111624684	ACTL7A	list	114
m111624726	ACTL7A	list	61
m111624736	ACTL7A	list	131
p111624607	ACTL7A	list	186
p111624631	ACTL7A	list	86
p111624686	ACTL7A	list	174
p111624691	ACTL7A	list	152
p111624699	ACTL7A	list	26
m69392359	ACTN1	list	28
m69392382	ACTN1	list	188
m69445694	ACTN1	list	18
m69445700	ACTN1	list	85
m69445718	ACTN1	list	20
m69445724	ACTN1	list	25
p69392370	ACTN1	list	102
p69445679	ACTN1	list	85
p69445708	ACTN1	list	103
p69445745	ACTN1	list	72
m39138399	ACTN4	list	156
m39138430	ACTN4	list	108
m39138527	ACTN4	list	43
p39138381	ACTN4	list	146
p39138403	ACTN4	list	179
p39138433	ACTN4	list	88
p39138459	ACTN4	list	170
p39138465	ACTN4	list	142
p39138476	ACTN4	list	80
p39138482	ACTN4	list	107
m104248862	ACTR1A	list	62
m104250350	ACTR1A	list	136
m104250365	ACTR1A	list	114
p104248833	ACTR1A	list	186
p104248866	ACTR1A	list	38
p104250290	ACTR1A	list	6
p104250304	ACTR1A	list	111
p104262351	ACTR1A	list	200
p104262374	ACTR1A	list	151
p104262383	ACTR1A	list	150
m114684932	ACTR3	list	11
m114688941	ACTR3	list	9
p114674498	ACTR3	list	26
p114684915	ACTR3	list	65
p114684941	ACTR3	list	147
p114684946	ACTR3	list	21
p114684953	ACTR3	list	197
p114688931	ACTR3	list	167
p114691883	ACTR3	list	120
p114691894	ACTR3	list	59
m37377141	ACTR5	list	114
m37377155	ACTR5	list	53
m37377161	ACTR5	list	23
m37377171	ACTR5	list	71
m37377189	ACTR5	list	6
p37377163	ACTR5	list	13
p37377178	ACTR5	list	30
p37377198	ACTR5	list	160
p37377204	ACTR5	list	75
p37377211	ACTR5	list	65
m53916047	ACTR8	list	2
m53916057	ACTR8	list	8
m53916067	ACTR8	list	54
m53916073	ACTR8	list	198
m53916081	ACTR8	list	119
m53916091	ACTR8	list	191
m53916096	ACTR8	list	76
m53916103	ACTR8	list	21
m53916111	ACTR8	list	186
m53916121	ACTR8	list	117
m169487192	ACTRT3	list	95
m169487204	ACTRT3	list	134
m169487242	ACTRT3	list	178
m169487247	ACTRT3	list	164
m169487252	ACTRT3	list	176
m169487267	ACTRT3	list	116
m169487273	ACTRT3	list	196
m169487289	ACTRT3	list	86
p169487206	ACTRT3	list	140
p169487280	ACTRT3	list	36
m158637033	ACVR1	list	42
m158637046	ACVR1	list	46
m158637054	ACVR1	list	55
m158637066	ACVR1	list	83
m158655997	ACVR1	list	95
p158637019	ACVR1	list	118
p158637035	ACVR1	list	126
p158637068	ACVR1	list	134
p158655928	ACVR1	list	45
p158655958	ACVR1	list	25
m52369170	ACVR1B	list	191
m52369187	ACVR1B	list	90
m52369192	ACVR1B	list	3
m52369211	ACVR1B	list	180
m52369226	ACVR1B	list	62
m52369237	ACVR1B	list	69
p52369196	ACVR1B	list	143
p52369243	ACVR1B	list	47
p52369255	ACVR1B	list	179
p52369266	ACVR1B	list	50
m158401016	ACVR1C	list	150
m158401030	ACVR1C	list	183
m158401075	ACVR1C	list	177
m158401097	ACVR1C	list	98
m158401113	ACVR1C	list	137
m158443700	ACVR1C	list	182
m158443841	ACVR1C	list	79
p158443781	ACVR1C	list	158
p158443786	ACVR1C	list	78
p158443795	ACVR1C	list	133
m148602752	ACVR2A	list	68
m148602767	ACVR2A	list	190
m148653941	ACVR2A	list	197
m148653961	ACVR2A	list	66
p148602720	ACVR2A	list	162
p148602754	ACVR2A	list	130
p148653859	ACVR2A	list	150
p148653946	ACVR2A	list	155
p148653965	ACVR2A	list	181
p148653997	ACVR2A	list	123
m38495825	ACVR2B	list	30
m38518828	ACVR2B	list	63
m38518849	ACVR2B	list	20
p38495805	ACVR2B	list	103
p38495827	ACVR2B	list	186
p38518810	ACVR2B	list	64
p38518817	ACVR2B	list	183
p38518836	ACVR2B	list	154
p38518841	ACVR2B	list	88
p38518854	ACVR2B	list	117
m52306276	ACVRL1	list	98
m52306307	ACVRL1	list	49
m52306881	ACVRL1	list	33
m52306910	ACVRL1	list	71
m52306921	ACVRL1	list	4
p52306245	ACVRL1	list	116
p52306281	ACVRL1	list	22
p52306287	ACVRL1	list	193
p52306296	ACVRL1	list	88
p52306883	ACVRL1	list	94
m123301295	ADAD1	list	21
m123301308	ADAD1	list	197
m123301332	ADAD1	list	80
m123301345	ADAD1	list	23
m123301366	ADAD1	list	57
p123301314	ADAD1	list	94
p123301335	ADAD1	list	81
p123301349	ADAD1	list	143
p123301358	ADAD1	list	156
p123301373	ADAD1	list	67
m58974490	ADAM10	list	104
m59009777	ADAM10	list	74
m59009866	ADAM10	list	182
m59009883	ADAM10	list	166
m59041689	ADAM10	list	182
m59041696	ADAM10	list	86
p58974401	ADAM10	list	29
p58974481	ADAM10	list	42
p59009761	ADAM10	list	154
p59009767	ADAM10	list	21
m128018982	ADAM12	list	100
m128019019	ADAM12	list	75
m128019025	ADAM12	list	27
m128076635	ADAM12	list	140
m128076658	ADAM12	list	118
p128018991	ADAM12	list	175
p128019039	ADAM12	list	87
p128076618	ADAM12	list	138
p128076641	ADAM12	list	169
p128076650	ADAM12	list	169
m28338537	ADAMTS5	list	191
m28338697	ADAMTS5	list	164
m28338702	ADAMTS5	list	86
p28338524	ADAMTS5	list	19
p28338585	ADAMTS5	list	119
p28338596	ADAMTS5	list	149
p28338607	ADAMTS5	list	9
p28338612	ADAMTS5	list	154
p28338620	ADAMTS5	list	130
p28338667	ADAMTS5	list	197
m975089	ADAP1	list	141
m975116	ADAP1	list	113
m975132	ADAP1	list	24
m994042	ADAP1	list	159
m994066	ADAP1	list	165
m994071	ADAP1	list	129
m994091	ADAP1	list	197
m994101	ADAP1	list	145
m994106	ADAP1	list	68
p975103	ADAP1	list	193
m154574098	ADAR	list	30
m154574103	ADAR	list	187
m154574108	ADAR	list	18
m154574165	ADAR	list	99
m154574219	ADAR	list	7
p154574043	ADAR	list	42
p154574114	ADAR	list	137
p154574121	ADAR	list	61
p154574126	ADAR	list	136
p154574157	ADAR	list	84
m46591572	ADARB1	list	147
m46595675	ADARB1	list	26
m46595697	ADARB1	list	108
m46595715	ADARB1	list	137
m46595721	ADARB1	list	38
m46595779	ADARB1	list	115
p46595645	ADARB1	list	79
p46595700	ADARB1	list	35
p46595705	ADARB1	list	186
p46595724	ADARB1	list	84
m1779246	ADARB2	list	36
m1779251	ADARB2	list	72
m1779266	ADARB2	list	113
m1779272	ADARB2	list	135
m1779308	ADARB2	list	115
m1779330	ADARB2	list	118
m1779337	ADARB2	list	47
p1421307	ADARB2	list	166
p1421336	ADARB2	list	41
p1779233	ADARB2	list	166
m78285328	ADCK1	list	185
m78285358	ADCK1	list	173
m78285376	ADCK1	list	77
m78285413	ADCK1	list	150
p78285311	ADCK1	list	71
p78285331	ADCK1	list	148
p78285341	ADCK1	list	123
p78285386	ADCK1	list	147
p78285402	ADCK1	list	91
p78285416	ADCK1	list	198
m140373155	ADCK2	list	162
m140373168	ADCK2	list	172
m140373177	ADCK2	list	41
m140373210	ADCK2	list	14
m140373220	ADCK2	list	29
m140373231	ADCK2	list	91
p140373122	ADCK2	list	63
p140373137	ADCK2	list	90
p140373158	ADCK2	list	121
p140373194	ADCK2	list	24
m227149096	ADCK3	list	131
m227149144	ADCK3	list	131
m227149153	ADCK3	list	139
m227149163	ADCK3	list	182
p227149079	ADCK3	list	166
p227149104	ADCK3	list	88
p227149124	ADCK3	list	117
p227149133	ADCK3	list	164
p227149155	ADCK3	list	97
p227149165	ADCK3	list	125
m41220243	ADCK4	list	14
m41220249	ADCK4	list	54
m41220284	ADCK4	list	197
m41220291	ADCK4	list	6
m41220465	ADCK4	list	119
m41220474	ADCK4	list	143
m41220523	ADCK4	list	17
p41220276	ADCK4	list	192
p41220422	ADCK4	list	165
p41220480	ADCK4	list	18
m145603095	ADCK5	list	167
m145603137	ADCK5	list	185
m145603170	ADCK5	list	18
m145608301	ADCK5	list	67
m145608343	ADCK5	list	75
p145597774	ADCK5	list	25
p145603106	ADCK5	list	9
p145603142	ADCK5	list	152
p145608305	ADCK5	list	36
p145608311	ADCK5	list	38
m45614206	ADCY1	list	44
m45614243	ADCY1	list	171
m45614270	ADCY1	list	163
m45614323	ADCY1	list	155
p45614127	ADCY1	list	33
p45614255	ADCY1	list	45
p45614284	ADCY1	list	138
p45614294	ADCY1	list	94
p45614309	ADCY1	list	75
p45614315	ADCY1	list	126
m2877698	ADD1	list	39
m2877722	ADD1	list	81
m2877771	ADD1	list	68
m2877776	ADD1	list	91
p2877627	ADD1	list	174
p2877644	ADD1	list	20
p2877730	ADD1	list	90
p2877736	ADD1	list	52
p2877743	ADD1	list	143
p2877761	ADD1	list	94
m111860427	ADD3	list	110
m111860445	ADD3	list	10
m111860450	ADD3	list	130
m111860456	ADD3	list	8
m111860540	ADD3	list	25
p111860411	ADD3	list	180
p111860500	ADD3	list	101
p111860505	ADD3	list	87
p111860545	ADD3	list	90
p111860553	ADD3	list	9
m100003154	ADH5	list	157
m100003254	ADH5	list	150
m100006267	ADH5	list	82
m100006354	ADH5	list	41
m100009841	ADH5	list	81
p100002504	ADH5	list	139
p100002510	ADH5	list	174
p100002584	ADH5	list	113
p100003219	ADH5	list	172
p100003224	ADH5	list	184
m100349694	ADH7	list	67
m100350690	ADH7	list	115
m100350735	ADH7	list	33
m100350762	ADH7	list	47
p100349698	ADH7	list	183
p100349706	ADH7	list	194
p100349757	ADH7	list	150
p100350692	ADH7	list	194
p100350718	ADH7	list	59
p100350724	ADH7	list	63
m3517677	ADI1	list	160
m3523156	ADI1	list	161
m3523162	ADI1	list	163
m3523239	ADI1	list	151
m3523246	ADI1	list	38
m3523251	ADI1	list	69
p3517642	ADI1	list	196
p3517660	ADI1	list	60
p3523164	ADI1	list	162
p3523171	ADI1	list	44
m88728302	ADIRF	list	49
m88728350	ADIRF	list	140
m88729968	ADIRF	list	69
p88728292	ADIRF	list	25
p88728315	ADIRF	list	42
p88728321	ADIRF	list	84
p88729942	ADIRF	list	141
p88729951	ADIRF	list	115
p88729975	ADIRF	list	142
p88729984	ADIRF	list	136
m75960552	ADK	list	114
m75960590	ADK	list	127
m76153995	ADK	list	148
m76154033	ADK	list	127
p75960554	ADK	list	29
p76074446	ADK	list	170
p76074475	ADK	list	84
p76074481	ADK	list	107
p76153940	ADK	list	57
p76154015	ADK	list	51
m49511043	ADNP	list	157
m49518579	ADNP	list	156
m49518587	ADNP	list	200
m49520451	ADNP	list	194
m49520507	ADNP	list	199
p49510837	ADNP	list	165
p49510899	ADNP	list	79
p49510949	ADNP	list	188
p49511011	ADNP	list	153
p49520498	ADNP	list	85
m77891006	ADNP2	list	189
p77875445	ADNP2	list	128
p77875475	ADNP2	list	160
p77875482	ADNP2	list	179
p77875499	ADNP2	list	188
p77875511	ADNP2	list	175
p77890985	ADNP2	list	120
p77891013	ADNP2	list	118
p77891042	ADNP2	list	141
p77891053	ADNP2	list	90
m36554512	ADPRHL2	list	143
m36554557	ADPRHL2	list	164
m36554563	ADPRHL2	list	56
m36554576	ADPRHL2	list	130
m36554620	ADPRHL2	list	63
p36554501	ADPRHL2	list	156
p36554520	ADPRHL2	list	17
p36554568	ADPRHL2	list	175
p36554580	ADPRHL2	list	48
p36554606	ADPRHL2	list	183
m26722399	ADRA1A	list	128
m26722428	ADRA1A	list	159
m26722434	ADRA1A	list	123
m26722473	ADRA1A	list	71
p26722329	ADRA1A	list	84
p26722406	ADRA1A	list	108
p26722412	ADRA1A	list	44
p26722419	ADRA1A	list	73
p26722438	ADRA1A	list	115
p26722465	ADRA1A	list	2
m159343921	ADRA1B	list	94
m159343926	ADRA1B	list	18
m159343934	ADRA1B	list	36
m159343996	ADRA1B	list	59
m159344001	ADRA1B	list	49
m159344006	ADRA1B	list	163
m159344028	ADRA1B	list	56
p159343905	ADRA1B	list	194
p159343912	ADRA1B	list	140
p159343940	ADRA1B	list	98
m115803922	ADRB1	list	103
m115803930	ADRB1	list	70
m115803938	ADRB1	list	169
m115803996	ADRB1	list	24
m115804005	ADRB1	list	59
m115804012	ADRB1	list	19
m115804041	ADRB1	list	181
m115804047	ADRB1	list	82
p115803878	ADRB1	list	21
p115803909	ADRB1	list	158
m148206406	ADRB2	list	47
m148206447	ADRB2	list	44
p148206408	ADRB2	list	12
p148206418	ADRB2	list	70
p148206432	ADRB2	list	92
p148206450	ADRB2	list	15
p148206455	ADRB2	list	87
p148206462	ADRB2	list	167
p148206467	ADRB2	list	128
p148206474	ADRB2	list	78
m37823829	ADRB3	list	58
m37823842	ADRB3	list	101
m37823867	ADRB3	list	171
m37823894	ADRB3	list	114
p37823813	ADRB3	list	80
p37823900	ADRB3	list	89
p37823908	ADRB3	list	104
p37823913	ADRB3	list	71
p37823952	ADRB3	list	64
p37823958	ADRB3	list	49
m67034181	ADRBK1	list	7
m67034219	ADRBK1	list	113
m67034242	ADRBK1	list	94
m67034255	ADRBK1	list	191
p67034160	ADRBK1	list	112
p67034166	ADRBK1	list	109
p67034172	ADRBK1	list	48
p67034193	ADRBK1	list	39
p67034199	ADRBK1	list	54
p67034261	ADRBK1	list	174
m25961078	ADRBK2	list	110
m25961092	ADRBK2	list	174
m25961108	ADRBK2	list	40
m26000349	ADRBK2	list	37
m26000370	ADRBK2	list	69
m26057580	ADRBK2	list	25
p25960997	ADRBK2	list	23
p25961098	ADRBK2	list	82
p26040592	ADRBK2	list	184
p26057601	ADRBK2	list	145
m60878634	ADRM1	list	89
m60878651	ADRM1	list	86
m60878679	ADRM1	list	50
p60878615	ADRM1	list	180
p60878642	ADRM1	list	195
p60878671	ADRM1	list	129
p60878682	ADRM1	list	164
p60878687	ADRM1	list	23
p60878704	ADRM1	list	84
p60878730	ADRM1	list	160
m44144289	AEBP1	list	175
m44144302	AEBP1	list	179
m44144319	AEBP1	list	111
m44144326	AEBP1	list	76
m44144338	AEBP1	list	26
m44144355	AEBP1	list	48
p44144293	AEBP1	list	159
p44144306	AEBP1	list	19
p44144347	AEBP1	list	128
p44144359	AEBP1	list	186
m19615484	AEBP2	list	117
m19615553	AEBP2	list	87
m19615572	AEBP2	list	109
m19615578	AEBP2	list	49
p19615440	AEBP2	list	154
p19615465	AEBP2	list	90
p19615492	AEBP2	list	184
p19615498	AEBP2	list	160
p19615544	AEBP2	list	96
p19615557	AEBP2	list	36
m89169460	AEN	list	36
m89169478	AEN	list	1
m89169484	AEN	list	70
m89169489	AEN	list	94
m89169495	AEN	list	12
m89169500	AEN	list	40
m89169507	AEN	list	191
m89169544	AEN	list	67
p89169516	AEN	list	12
p89169534	AEN	list	1
m3056311	AES	list	158
m3056337	AES	list	112
m3057678	AES	list	170
m3057717	AES	list	161
m3061159	AES	list	20
m3061215	AES	list	28
p3056318	AES	list	100
p3061179	AES	list	192
p3061186	AES	list	183
p3061195	AES	list	7
m116092987	AFAP1L2	list	168
m116093045	AFAP1L2	list	97
m116100394	AFAP1L2	list	25
m116100466	AFAP1L2	list	100
p116092995	AFAP1L2	list	84
p116100376	AFAP1L2	list	134
p116100409	AFAP1L2	list	1
p116100418	AFAP1L2	list	104
p116100433	AFAP1L2	list	79
p116164194	AFAP1L2	list	86
m87967374	AFF1	list	170
m87967382	AFF1	list	194
m87967432	AFF1	list	138
m87967920	AFF1	list	19
m87967978	AFF1	list	174
p87967338	AFF1	list	161
p87967353	AFF1	list	196
p87967869	AFF1	list	35
p87967890	AFF1	list	197
p87967926	AFF1	list	17
m147891407	AFF2	list	176
m147891412	AFF2	list	71
m147891420	AFF2	list	165
m147924509	AFF2	list	176
m147924918	AFF2	list	200
m147924923	AFF2	list	46
m147967463	AFF2	list	142
m147967470	AFF2	list	196
p147891422	AFF2	list	73
p147967406	AFF2	list	70
m100623802	AFF3	list	148
m100623914	AFF3	list	170
m100625275	AFF3	list	74
m100625319	AFF3	list	103
m100625326	AFF3	list	134
m100625363	AFF3	list	54
p100623773	AFF3	list	7
p100623814	AFF3	list	198
p100623867	AFF3	list	76
p100623873	AFF3	list	38
m132272813	AFF4	list	183
m132272826	AFF4	list	117
m132272833	AFF4	list	135
m132272841	AFF4	list	197
m132272866	AFF4	list	112
p132272747	AFF4	list	189
p132272762	AFF4	list	76
p132272771	AFF4	list	165
p132272844	AFF4	list	140
p132272853	AFF4	list	97
m76183481	AFMID	list	172
m76183493	AFMID	list	105
m76187074	AFMID	list	50
m76187079	AFMID	list	32
p76183445	AFMID	list	105
p76183450	AFMID	list	176
p76183465	AFMID	list	91
p76183473	AFMID	list	25
p76187060	AFMID	list	111
p76187082	AFMID	list	117
m64778617	AFTPH	list	63
m64778646	AFTPH	list	187
m64778724	AFTPH	list	115
m64778773	AFTPH	list	102
m64778841	AFTPH	list	19
m64778905	AFTPH	list	115
p64778649	AFTPH	list	158
p64778713	AFTPH	list	15
p64778754	AFTPH	list	97
p64778890	AFTPH	list	173
m58128438	AGAP2	list	26
m58128444	AGAP2	list	127
m58128454	AGAP2	list	109
m58129187	AGAP2	list	124
m58129192	AGAP2	list	3
p58128423	AGAP2	list	100
p58129143	AGAP2	list	13
p58129148	AGAP2	list	105
p58129153	AGAP2	list	111
