group_id	#_items_in_group	lo_value	FDR
PWP1	10	1.3450e-03	0.278427
DCTN4	10	1.3520e-03	0.278427
TUBB	10	1.3591e-03	0.278427
RNF8	10	1.3768e-03	0.279643
NF1	10	1.3953e-03	0.279905
TXNIP	10	1.4056e-03	0.279905
RHOU	10	1.4345e-03	0.279905
TADA2B	10	1.4355e-03	0.279905
PISD	10	1.4398e-03	0.279905
CCNK	10	1.4421e-03	0.279905
OAZ2	10	1.4489e-03	0.279905
KAT6A	10	1.4539e-03	0.279905
MGEA5	10	1.4966e-03	0.286039
ZBTB1	10	1.5173e-03	0.287702
RPL21	25	1.5301e-03	0.288394
HNRNPUL1	10	1.5710e-03	0.293938
R3HDM2	10	1.5733e-03	0.293938
RFC5	10	1.5868e-03	0.294516
ZSWIM7	10	1.6011e-03	0.295333
RAD51B	10	1.6580e-03	0.300411
LSM4	10	1.6583e-03	0.300411
PCGF1	10	1.7017e-03	0.304944
RPL15	53	1.7136e-03	0.304944
CSNK1G1	10	1.7689e-03	0.309384
RBM10	10	1.7957e-03	0.310736
NHP2L1	10	1.8130e-03	0.311009
RPN2	10	1.8291e-03	0.311338
ZNF362	10	1.8440e-03	0.311545
SOD1	10	1.9131e-03	0.317951
PRIM2	10	1.9387e-03	0.317951
LUC7L2	10	1.9444e-03	0.317951
TSC1	10	1.9675e-03	0.319314
WBP4	10	2.0712e-03	0.329373
TKT	10	2.0820e-03	0.329373
PDCD6IP	10	2.0977e-03	0.329373
ASUN	10	2.1117e-03	0.329373
CHMP3	10	2.1329e-03	0.329373
SARNP	10	2.1471e-03	0.329373
NKX2-1	10	2.1517e-03	0.329373
RREB1	10	2.1701e-03	0.329373
NVL	10	2.2010e-03	0.329373
WTAP	10	2.2184e-03	0.329373
CNOT3	10	2.2384e-03	0.329373
UHRF1	10	2.2467e-03	0.329373
KDM5C	10	2.2504e-03	0.329373
UCHL5	10	2.2534e-03	0.329373
RPL27A	32	2.2681e-03	0.329622
AATK	10	2.3898e-03	0.341416
RPS18	40	2.4035e-03	0.341416
PLK4	10	2.4149e-03	0.341416
PHB2	10	2.4398e-03	0.342831
FAM160B2	10	2.5181e-03	0.349334
SNRPC	10	2.5185e-03	0.349334
GGNBP2	10	2.5406e-03	0.349827
C11orf84	10	2.5587e-03	0.349994
HOXA7	10	2.5718e-03	0.349994
PAFAH1B1	10	2.6054e-03	0.351473
MAK16	10	2.6982e-03	0.362069
TAF5L	10	2.7364e-03	0.364312
STRIP1	10	2.7717e-03	0.366779
SKA1	10	2.8045e-03	0.366872
CTDP1	10	2.8181e-03	0.366872
INCA1	10	2.9353e-03	0.377714
ZNF622	10	2.9980e-03	0.383296
SAMD4B	10	3.0461e-03	0.385949
AEN	10	3.0661e-03	0.385949
TMEM150C	10	3.0716e-03	0.385949
ASCL2	10	3.1540e-03	0.391715
SETD2	10	3.2079e-03	0.395499
SDCBP	10	3.2432e-03	0.397187
EXOSC1	10	3.2825e-03	0.399557
NPPA	10	3.3442e-03	0.404549
CCNC	10	3.4489e-03	0.411959
NUDC	10	3.4553e-03	0.411959
IL16	10	3.4805e-03	0.412389
CENPN	10	3.5484e-03	0.416405
CREBBP	10	3.5609e-03	0.416405
SKA2	10	3.5794e-03	0.416405
NOLC1	10	3.6168e-03	0.418558
APEX2	10	3.6740e-03	0.419448
TUBGCP3	10	3.6947e-03	0.419448
WBSCR22	10	3.7012e-03	0.419448
PPAN	10	3.7287e-03	0.419448
ZNHIT3	10	3.7378e-03	0.419448
ZNF324B	10	3.7530e-03	0.419448
RAG1	10	3.8885e-03	0.430269
CEP55	10	3.9285e-03	0.430531
KNSTRN	10	3.9320e-03	0.430531
ZNF830	10	3.9868e-03	0.432103
CPSF3L	10	4.0003e-03	0.432103
NSMCE1	10	4.0255e-03	0.432103
FAM76B	10	4.0280e-03	0.432103
COPS4	10	4.0724e-03	0.433948
FAM183A	10	4.0976e-03	0.433948
RPL14	33	4.1023e-03	0.433948
HDX	10	4.1323e-03	0.435664
WDR83OS	10	4.1879e-03	0.435744
RAD51D	10	4.1908e-03	0.435744
TCF3	10	4.2050e-03	0.435744
ANAPC13	10	4.2624e-03	0.435744
BCL2L1	10	4.2739e-03	0.435744
FOS	10	4.2764e-03	0.435744
ZBTB7B	10	4.2979e-03	0.435744
MED24	10	4.3283e-03	0.435744
BAG1	10	4.3346e-03	0.435744
RPS28	14	4.3731e-03	0.437264
PFDN5	10	4.4199e-03	0.438679
CRYBA1	10	4.4341e-03	0.438679
ZNF526	10	4.4718e-03	0.439655
RPS2	61	4.4992e-03	0.440269
FLCN	10	4.5702e-03	0.444564
YBEY	10	4.6330e-03	0.445774
SMEK1	10	4.6604e-03	0.445774
TEN1	10	4.6975e-03	0.445774
CDK17	10	4.7063e-03	0.445774
RNF168	10	4.7074e-03	0.445774
MAPKAPK5	10	4.7079e-03	0.445774
NLK	10	4.7624e-03	0.447498
SMG1	10	4.7905e-03	0.447498
USP15	10	4.8129e-03	0.447498
TAP2	10	4.8275e-03	0.447498
SIAH1	10	4.8406e-03	0.447498
TNPO3	10	4.8690e-03	0.447865
LMO2	10	5.0750e-03	0.463200
C18orf25	10	5.1080e-03	0.463200
PRIM1	10	5.1146e-03	0.463200
TMEM163	10	5.1907e-03	0.466228
BAP1	10	5.2066e-03	0.466228
DPP8	10	5.2450e-03	0.468019
RPL24	23	5.3237e-03	0.472677
UBA5	10	5.3782e-03	0.474180
EIF2AK4	10	5.3868e-03	0.474180
HNRNPM	10	5.4379e-03	0.476883
DAXX	10	5.4543e-03	0.476883
PLXNA1	10	5.5228e-03	0.480959
SCAMP2	10	5.6023e-03	0.485113
RPL18A	46	5.6167e-03	0.485113
DDB1	10	5.6755e-03	0.487168
NRBP1	10	5.7373e-03	0.489773
CSNK2B	10	5.7960e-03	0.492429
PTPN11	10	5.9010e-03	0.498999
PAXIP1	10	5.9250e-03	0.498999
TREX1	10	5.9308e-03	0.498999
KHSRP	10	5.9806e-03	0.500650
MED8	10	6.0339e-03	0.501982
ZEB2	10	6.0668e-03	0.501982
TMEM130	10	6.1143e-03	0.501982
HNRNPA2B1	10	6.1278e-03	0.501982
YPEL3	10	6.1812e-03	0.501982
WDR75	10	6.1817e-03	0.501982
ANKRD17	10	6.1859e-03	0.501982
RUNX3	10	6.2027e-03	0.501982
HNRNPK	10	6.2420e-03	0.502967
RPL38	6	6.3194e-03	0.505652
LSG1	10	6.3386e-03	0.505652
RPL4	68	6.4002e-03	0.508578
SMARCC1	10	6.4746e-03	0.509695
CLK3	10	6.4865e-03	0.509695
GABPB1	10	6.4926e-03	0.509695
ISCU	10	6.5740e-03	0.513357
STUB1	10	6.6325e-03	0.515096
MNAT1	10	6.6457e-03	0.515096
RTEL1	10	6.6910e-03	0.515354
TYMS	10	6.6951e-03	0.515354
KDM1A	10	6.7463e-03	0.517250
TARDBP	10	6.7663e-03	0.517250
EIF1AD	10	6.8071e-03	0.518462
DMPK	10	6.8385e-03	0.518834
APRT	10	6.9181e-03	0.522616
GTF2A2	10	7.0092e-03	0.525886
CDKN1B	10	7.0558e-03	0.525886
EIF6	10	7.0601e-03	0.525886
ORC3	10	7.0794e-03	0.525886
PCBP2	10	7.1459e-03	0.527317
KIF2C	10	7.1610e-03	0.527317
SUPT6H	10	7.1995e-03	0.527317
NCLN	10	7.2202e-03	0.527317
RPP38	10	7.2335e-03	0.527317
PSMD14	10	7.2596e-03	0.527317
TMEM8C	10	7.2897e-03	0.527832
FAM126B	10	7.4076e-03	0.533138
PRM2	10	7.4255e-03	0.533138
CDK19	10	7.5613e-03	0.539703
ANAPC11	10	7.5911e-03	0.539961
ETV6	10	7.6945e-03	0.545464
ORC6	10	7.7227e-03	0.545522
ATRIP	10	7.8127e-03	0.548539
HNRNPH1	10	7.8207e-03	0.548539
KAT6B	10	7.8426e-03	0.548539
RBBP4	10	7.8865e-03	0.549662
ANGPT2	10	7.9882e-03	0.553966
PSMA3	10	8.0116e-03	0.553966
CLASRP	10	8.2168e-03	0.565212
CAMK1	10	8.2400e-03	0.565212
NOL10	10	8.2697e-03	0.565269
TPPP	10	8.3756e-03	0.567136
HELQ	10	8.4237e-03	0.567136
DOT1L	10	8.4590e-03	0.567136
TOP3A	10	8.4861e-03	0.567136
HOXC8	10	8.5052e-03	0.567136
NUF2	10	8.5113e-03	0.567136
UFL1	10	8.5145e-03	0.567136
ELP2	10	8.5174e-03	0.567136
SBK1	10	8.5328e-03	0.567136
RPL28	54	8.6366e-03	0.571260
CROCC	10	8.6590e-03	0.571260
STRAP	10	8.6919e-03	0.571260
RUVBL1	10	8.7826e-03	0.575235
HMGXB3	10	8.8816e-03	0.578778
UBR5	10	8.8957e-03	0.578778
DCTN2	10	8.9628e-03	0.581265
CHAF1B	10	9.0418e-03	0.583879
ZNF34	10	9.0592e-03	0.583879
KDM8	10	9.1173e-03	0.585829
PARD3B	10	9.2849e-03	0.593659
SNRPD2	10	9.2982e-03	0.593659
FASTK	10	9.3250e-03	0.593659
NCOR2	10	9.4437e-03	0.597424
IRAK3	10	9.4566e-03	0.597424
TOX	10	9.6125e-03	0.602064
RPS10	38	9.6332e-03	0.602064
NUBP2	10	9.6471e-03	0.602064
XPO6	10	9.6743e-03	0.602064
HIF1AN	10	9.6800e-03	0.602064
CAPS	10	9.7316e-03	0.603285
MTOR	10	9.8095e-03	0.605765
CCDC94	10	9.8401e-03	0.605949
C6orf57	10	9.9170e-03	0.607980
DCP1A	10	9.9479e-03	0.608076
TOLLIP	10	1.0032e-02	0.610579
YY1	10	1.0049e-02	0.610579
CTCF	10	1.0130e-02	0.612841
MLLT1	10	1.0184e-02	0.613486
DYNC1LI1	10	1.0210e-02	0.613486
CCDC70	10	1.0273e-02	0.613486
CSK	10	1.0282e-02	0.613486
JAK1	10	1.0304e-02	0.613486
NLRP1	10	1.0347e-02	0.613486
CLP1	10	1.0362e-02	0.613486
AURKA	10	1.0407e-02	0.613486
KAT2A	10	1.0409e-02	0.613486
PRDX5	10	1.0483e-02	0.616456
MCM10	10	1.0655e-02	0.622328
POLD3	10	1.0676e-02	0.622328
MAP4K2	10	1.0680e-02	0.622328
SFMBT2	10	1.0770e-02	0.625110
ADCK4	10	1.0785e-02	0.625110
POM121	10	1.0815e-02	0.625110
ANXA11	10	1.0936e-02	0.629391
ZMYM2	10	1.1121e-02	0.634222
C2orf49	10	1.1138e-02	0.634222
C4orf21	10	1.1165e-02	0.634222
RCC1	10	1.1170e-02	0.634222
C7orf25	10	1.1220e-02	0.634222
MED10	10	1.1221e-02	0.634222
PIAS1	10	1.1237e-02	0.634222
EIF2AK3	10	1.1271e-02	0.634222
MAP3K14	10	1.1353e-02	0.634440
UTP3	10	1.1366e-02	0.634440
EID2B	10	1.1371e-02	0.634440
RRAGA	10	1.1423e-02	0.634903
ADD3	10	1.1437e-02	0.634903
NUFIP1	10	1.1529e-02	0.635575
CDK9	10	1.1538e-02	0.635575
FAM96B	10	1.1547e-02	0.635575
ILF2	10	1.1650e-02	0.639555
FUBP1	10	1.1685e-02	0.639759
HOXD13	10	1.1842e-02	0.645281
EPHB3	10	1.2065e-02	0.652157
DEAF1	10	1.2078e-02	0.652157
SYCP1	10	1.2096e-02	0.652157
ESRRA	10	1.2133e-02	0.652567
VPRBP	10	1.2225e-02	0.654978
ZNF827	10	1.2239e-02	0.654978
EFCAB13	10	1.2303e-02	0.656401
ANKRD42	10	1.2409e-02	0.658020
RAD23B	10	1.2502e-02	0.658020
TMEM192	10	1.2508e-02	0.658020
RPL10	56	1.2533e-02	0.658020
BNC1	10	1.2562e-02	0.658020
BMI1	10	1.2616e-02	0.658020
RPL23A	31	1.2632e-02	0.658020
ZSCAN2	10	1.2634e-02	0.658020
SRRM1	10	1.2689e-02	0.658020
TIPRL	10	1.2695e-02	0.658020
CEBPD	10	1.2707e-02	0.658020
TRMT6	10	1.2749e-02	0.658020
CCNL1	10	1.2765e-02	0.658020
AHCTF1	10	1.2792e-02	0.658020
MSL1	10	1.2808e-02	0.658020
TAF13	10	1.2936e-02	0.660489
MRPL41	10	1.2979e-02	0.660489
CELF6	10	1.3031e-02	0.660518
ZNF708	10	1.3114e-02	0.661775
POP4	10	1.3241e-02	0.665544
PSMA8	10	1.3384e-02	0.668594
RANGAP1	10	1.3529e-02	0.671766
DHX16	10	1.3607e-02	0.672558
TSEN2	10	1.3665e-02	0.673099
PDS5B	10	1.3772e-02	0.674826
PSMB6	10	1.3830e-02	0.675516
FAM98C	10	1.3924e-02	0.677386
PIK3R4	10	1.3984e-02	0.677444
TUBG1	10	1.4076e-02	0.678157
ASCC3	10	1.4095e-02	0.678157
SASS6	10	1.4154e-02	0.678898
MCM7	10	1.4246e-02	0.680166
GID8	10	1.4329e-02	0.681252
ERBB2IP	10	1.4531e-02	0.685652
HIRA	10	1.4589e-02	0.686216
CSRP1	10	1.4734e-02	0.689623
GCK	10	1.4852e-02	0.690580
VEZF1	10	1.4869e-02	0.690580
TUBGCP4	10	1.4913e-02	0.690580
C5orf15	10	1.5004e-02	0.691652
HOXB2	10	1.5019e-02	0.691652
NAPRT1	10	1.5115e-02	0.691895
CCDC28B	10	1.5139e-02	0.691895
NUDT16	10	1.5273e-02	0.694822
TELO2	10	1.5353e-02	0.696041
AXIN2	10	1.5578e-02	0.701557
UTP6	10	1.5795e-02	0.707349
S100PBP	10	1.5972e-02	0.710287
FBL	10	1.5979e-02	0.710287
RPL7	34	1.6045e-02	0.710632
S100A9	10	1.6167e-02	0.711722
DICER1	10	1.6213e-02	0.711722
KATNB1	10	1.6217e-02	0.711722
KIAA0391	10	1.6351e-02	0.714713
GNAI1	10	1.6486e-02	0.717061
C8orf37	10	1.6621e-02	0.719922
UPF1	10	1.6680e-02	0.720305
TP53RK	10	1.7100e-02	0.730170
ZFP3	10	1.7159e-02	0.730170
FAM98A	10	1.7285e-02	0.730170
SMNDC1	10	1.7294e-02	0.730170
BIRC5	10	1.7318e-02	0.730170
ZNF330	10	1.7439e-02	0.730170
RRM2	10	1.7509e-02	0.730170
MAPK3	10	1.7527e-02	0.730170
HAUS5	10	1.7553e-02	0.730170
POLR3C	10	1.7563e-02	0.730170
TTF2	10	1.7596e-02	0.730170
STK4	10	1.7698e-02	0.732153
RPF2	10	1.7792e-02	0.733151
PDIK1L	10	1.7832e-02	0.733151
NEK2	10	1.7937e-02	0.733573
RPS19	25	1.7949e-02	0.733573
YLPM1	10	1.8195e-02	0.737367
RPL10A	35	1.8203e-02	0.737367
ZC4H2	10	1.8235e-02	0.737367
CRK	10	1.8370e-02	0.739224
CEBPE	10	1.8504e-02	0.740596
MAP2K1	10	1.8519e-02	0.740596
ARID4A	10	1.8639e-02	0.742873
WNK2	10	1.9176e-02	0.757660
RNMT	10	1.9412e-02	0.762674
SREBF1	10	1.9505e-02	0.763953
MARK3	10	1.9611e-02	0.763953
CHAF1A	10	1.9621e-02	0.763953
C15orf39	10	1.9644e-02	0.763953
VASH1	10	1.9740e-02	0.764972
KLK10	10	1.9987e-02	0.770717
RPL8	67	2.0197e-02	0.773427
LIN28A	10	2.0333e-02	0.773427
ZNF276	10	2.0380e-02	0.773427
CDK5RAP2	10	2.0456e-02	0.773427
PSMF1	10	2.0468e-02	0.773427
ICA1	10	2.0480e-02	0.773427
TONSL	10	2.0504e-02	0.773427
PMS1	10	2.0519e-02	0.773427
EIF2B5	10	2.0658e-02	0.774449
ACTR8	10	2.0705e-02	0.774449
SH3BGRL2	10	2.0728e-02	0.774449
LHPP	10	2.0787e-02	0.774449
POLE3	10	2.0819e-02	0.774449
NFATC4	10	2.0921e-02	0.774517
BRF1	10	2.0941e-02	0.774517
ARID1A	10	2.1051e-02	0.776662
UBE2E3	10	2.1127e-02	0.776769
RNF4	10	2.1190e-02	0.776769
POLR3K	10	2.1211e-02	0.776769
SBDS	10	2.1273e-02	0.776940
CTNNBIP1	10	2.1324e-02	0.776940
ALOX5	10	2.1458e-02	0.779621
PPAT	10	2.1592e-02	0.780481
ELAC1	10	2.1671e-02	0.780481
TRIP6	10	2.1694e-02	0.780481
THOC5	10	2.1860e-02	0.780481
ELF2	10	2.1869e-02	0.780481
RBM48	10	2.1907e-02	0.780481
SP100	10	2.1909e-02	0.780481
PRPF38B	10	2.1919e-02	0.780481
CELF1	10	2.1994e-02	0.780481
TUBE1	10	2.2095e-02	0.780481
TAF3	10	2.2120e-02	0.780481
CXorf56	10	2.2149e-02	0.780481
FTSJ3	10	2.2262e-02	0.780481
NPC1	10	2.2293e-02	0.780481
NRBP2	10	2.2335e-02	0.780481
NRIP1	10	2.2341e-02	0.780481
MBNL1	10	2.2462e-02	0.781035
KIAA0907	10	2.2486e-02	0.781035
PRC1	10	2.2538e-02	0.781035
SMAD9	10	2.2798e-02	0.784039
PDGFC	10	2.2923e-02	0.784039
HSP90AA1	10	2.2931e-02	0.784039
ANAPC4	10	2.2971e-02	0.784039
ID1	10	2.2996e-02	0.784039
PTGDS	10	2.3065e-02	0.784039
FBXO22	10	2.3094e-02	0.784039
ZMIZ1	10	2.3103e-02	0.784039
CIAPIN1	10	2.3233e-02	0.784905
NUP43	10	2.3245e-02	0.784905
CEP152	10	2.3461e-02	0.786567
C1orf74	10	2.3467e-02	0.786567
MKI67	10	2.3480e-02	0.786567
APEX1	10	2.3535e-02	0.786567
ZFPM1	10	2.3734e-02	0.790604
SUV39H1	10	2.3832e-02	0.791190
NLRP5	10	2.3881e-02	0.791190
CEBPA	10	2.4136e-02	0.794972
GPATCH1	10	2.4380e-02	0.794972
HUS1	10	2.4443e-02	0.794972
AP3B2	10	2.4505e-02	0.794972
FGF10	10	2.4537e-02	0.794972
RPL6	44	2.4634e-02	0.794972
DUSP21	10	2.4670e-02	0.794972
ULK2	10	2.4681e-02	0.794972
CCP110	10	2.4684e-02	0.794972
EXOSC5	10	2.4706e-02	0.794972
ZNF287	10	2.4804e-02	0.794972
MTF2	10	2.4805e-02	0.794972
PIDD	10	2.4845e-02	0.794972
SPECC1	10	2.4938e-02	0.794972
NPM2	10	2.5007e-02	0.794972
EGR1	10	2.5084e-02	0.794972
CKAP5	10	2.5160e-02	0.794972
RPL36AL	19	2.5224e-02	0.794972
DUSP26	10	2.5262e-02	0.794972
YEATS4	10	2.5332e-02	0.794972
SETD1A	10	2.5339e-02	0.794972
PSMD3	10	2.5442e-02	0.794972
CSNK1A1	10	2.5510e-02	0.794972
ZNF596	10	2.5516e-02	0.794972
C19orf70	10	2.5565e-02	0.794972
RPL30	15	2.5570e-02	0.794972
AMIGO2	10	2.5578e-02	0.794972
MATR3	10	2.5606e-02	0.794972
RNF20	10	2.5739e-02	0.796908
BRCA2	10	2.5873e-02	0.797409
CPSF3	10	2.5875e-02	0.797409
NUP155	10	2.6157e-02	0.801980
DDX23	10	2.6183e-02	0.801980
FAM161B	10	2.6273e-02	0.801980
RBMXL1	10	2.6324e-02	0.801980
ZBTB7A	10	2.6352e-02	0.801980
PNPT1	10	2.6379e-02	0.801980
PIM1	10	2.6435e-02	0.801980
EBF1	10	2.6571e-02	0.803610
HPSE	10	2.6807e-02	0.804523
TMEM206	10	2.6828e-02	0.804523
NPLOC4	10	2.6831e-02	0.804523
DMRTA1	10	2.6842e-02	0.804523
ZNF718	10	2.6926e-02	0.804523
EIF3A	10	2.6954e-02	0.804523
ZIC5	10	2.7074e-02	0.806194
LOC730183	10	2.7223e-02	0.808056
PRPF31	10	2.7508e-02	0.813479
CDV3	10	2.7607e-02	0.814609
ZFP91	10	2.7736e-02	0.814983
ORC1	10	2.7740e-02	0.814983
CCNB1IP1	10	2.7794e-02	0.814983
TRIM5	10	2.7923e-02	0.816232
SNF8	10	2.8067e-02	0.818458
SNRNP70	10	2.8212e-02	0.820596
CBX4	10	2.8273e-02	0.820678
SEC13	10	2.8517e-02	0.824771
PIK3C3	10	2.8604e-02	0.825420
SOX10	10	2.9084e-02	0.834355
NUMA1	10	2.9165e-02	0.834355
TNK1	10	2.9206e-02	0.834355
RPL3L	94	2.9241e-02	0.834355
KIAA1324	10	2.9442e-02	0.837191
C11orf95	10	2.9472e-02	0.837191
ZNF473	10	2.9531e-02	0.837356
MLL	10	2.9605e-02	0.837662
LPXN	10	2.9738e-02	0.839445
DNMT3A	10	2.9871e-02	0.840110
PRKCZ	10	2.9896e-02	0.840110
ZNF251	10	3.0004e-02	0.841099
GSK3B	10	3.0137e-02	0.842538
DHX8	10	3.0335e-02	0.844713
FLT3	10	3.0403e-02	0.844713
KEAP1	10	3.0748e-02	0.844713
ZNHIT2	10	3.0763e-02	0.844713
MARVELD1	10	3.0778e-02	0.844713
ZNHIT1	10	3.0793e-02	0.844713
UXT	10	3.0802e-02	0.844713
PA2G4	10	3.0803e-02	0.844713
EPHA1	10	3.0884e-02	0.844713
EPC1	10	3.0886e-02	0.844713
PRMT1	10	3.0945e-02	0.844713
STK3	10	3.0961e-02	0.844713
GTF3C1	10	3.1129e-02	0.847181
PHIP	10	3.1190e-02	0.847181
SRSF2	10	3.1328e-02	0.849019
RIPK2	10	3.1481e-02	0.850654
ZNF26	10	3.1732e-02	0.854780
IK	10	3.2263e-02	0.864760
TMEM38A	10	3.2318e-02	0.864815
MYO3A	10	3.2459e-02	0.865648
KIAA1731	10	3.2563e-02	0.865648
GIGYF2	10	3.2647e-02	0.865648
RALB	10	3.2661e-02	0.865648
RPS11	32	3.2678e-02	0.865648
DNA2	10	3.2789e-02	0.866859
POLR1B	10	3.2962e-02	0.868379
TMEM100	10	3.3044e-02	0.868379
MAP3K19	10	3.3186e-02	0.868379
SNX27	10	3.3272e-02	0.868379
TYRO3	10	3.3279e-02	0.868379
S100A6	10	3.3324e-02	0.868379
CXorf36	10	3.3414e-02	0.868379
CDC7	10	3.3453e-02	0.868379
FCF1	10	3.3472e-02	0.868379
FAM71E1	10	3.3557e-02	0.868379
C11orf57	10	3.3589e-02	0.868379
HOXB3	10	3.3672e-02	0.868379
