group_id	#_items_in_group	lo_value	FDR
ANAPC13	10	2.4222e-03	0.394757
KNSTRN	10	2.4222e-03	0.394757
RPL28	54	2.4342e-03	0.394757
CSE1L	10	2.4713e-03	0.394757
PPP6C	10	2.4713e-03	0.394757
CCNL1	10	2.4713e-03	0.394757
PAX5	10	2.4713e-03	0.394757
PRPF38A	10	2.5134e-03	0.394757
UBA2	10	2.5134e-03	0.394757
NUDC	10	2.5134e-03	0.394757
NAB2	10	2.5134e-03	0.394757
RPL14	33	2.6294e-03	0.409583
IMPDH2	10	2.7825e-03	0.425701
TCF3	10	2.7825e-03	0.425701
CSK	10	2.7825e-03	0.425701
VCP	10	2.7825e-03	0.425701
POP4	10	2.8841e-03	0.432019
ETAA1	10	2.8841e-03	0.432019
TMPRSS11A	10	2.8841e-03	0.432019
TMEM147	10	2.8841e-03	0.432019
PWP1	10	2.9061e-03	0.433204
RPL15	53	2.9859e-03	0.441315
POLR2C	10	3.0263e-03	0.441315
HOXC8	10	3.0263e-03	0.441315
PSMD3	10	3.0263e-03	0.441315
NRBP2	10	3.0263e-03	0.441315
RPS19	25	3.2092e-03	0.464677
PSMD7	10	3.2588e-03	0.469738
TRIM21	10	3.3811e-03	0.472060
RNF8	10	3.3811e-03	0.472060
POLE3	10	3.3811e-03	0.472060
NLRP1	10	3.3931e-03	0.472060
RB1	10	3.4099e-03	0.472060
RNF168	10	3.4099e-03	0.472060
FAM160B2	10	3.4099e-03	0.472060
KIAA2018	10	3.4099e-03	0.472060
PPP2R4	10	3.4099e-03	0.472060
ZNF16	10	3.4099e-03	0.472060
ANKRD17	10	3.9373e-03	0.499099
ALX1	10	3.9373e-03	0.499099
TMEM68	10	3.9373e-03	0.499099
ANAPC7	10	3.9373e-03	0.499099
TAF5L	10	3.9373e-03	0.499099
DNAJC2	10	3.9373e-03	0.499099
PES1	10	3.9373e-03	0.499099
UBA5	10	3.9373e-03	0.499099
TLX2	10	3.9426e-03	0.499099
SNF8	10	3.9426e-03	0.499099
RAD51D	10	3.9426e-03	0.499099
STRAP	10	3.9426e-03	0.499099
GAS2L1	10	3.9426e-03	0.499099
AATF	10	3.9426e-03	0.499099
ANAPC11	10	3.9426e-03	0.499099
SUPT6H	10	4.0640e-03	0.509323
CENPN	10	4.5399e-03	0.543998
C6orf136	10	4.5399e-03	0.543998
KDM5C	10	4.5399e-03	0.543998
UBR5	10	4.5399e-03	0.543998
ZMYM2	10	4.5399e-03	0.543998
RPL13	51	4.5534e-03	0.543998
RPS18	40	4.5828e-03	0.545248
TFCP2	10	4.8354e-03	0.554726
CINP	10	4.8354e-03	0.554726
DGCR8	10	4.8354e-03	0.554726
ZNF622	10	4.8354e-03	0.554726
PRC1	10	4.8354e-03	0.554726
LSM10	10	5.0223e-03	0.554726
STUB1	10	5.0223e-03	0.554726
TMEM163	10	5.0223e-03	0.554726
CEP55	10	5.0223e-03	0.554726
RUNX1T1	10	5.0223e-03	0.554726
CREBBP	10	5.0223e-03	0.554726
ZNF827	10	5.0223e-03	0.554726
STK3	10	5.0223e-03	0.554726
ASCL2	10	5.0223e-03	0.554726
SBK2	10	5.0223e-03	0.554726
ZNHIT6	10	5.1707e-03	0.554726
DMRTA1	10	5.1749e-03	0.554726
EIF2AK3	10	5.1749e-03	0.554726
NCLN	10	5.1749e-03	0.554726
PDS5B	10	5.1749e-03	0.554726
RORA	10	5.1749e-03	0.554726
UCHL5	10	5.1749e-03	0.554726
SBK1	10	5.1749e-03	0.554726
NKX2-1	10	5.1749e-03	0.554726
GTF2A2	10	5.1749e-03	0.554726
FUBP1	10	5.7518e-03	0.601813
PRMT1	10	5.7518e-03	0.601813
ESRRA	10	5.7518e-03	0.601813
MTOR	10	5.8811e-03	0.604520
CTSL1	10	5.8811e-03	0.604520
FOS	10	5.8811e-03	0.604520
PCBP2	10	5.8811e-03	0.604520
HNRNPM	10	5.8811e-03	0.604520
RBAK	10	6.3589e-03	0.605373
CHMP3	10	6.3589e-03	0.605373
TYRO3	10	6.3589e-03	0.605373
WDR83OS	10	6.3589e-03	0.605373
TXNRD1	10	6.3589e-03	0.605373
DEAF1	10	6.4547e-03	0.605373
TSEN2	10	6.4547e-03	0.605373
CSNK1G1	10	6.4547e-03	0.605373
EPC1	10	6.4547e-03	0.605373
ZEB2	10	6.4547e-03	0.605373
RIPK2	10	6.4547e-03	0.605373
NLRP5	10	6.4547e-03	0.605373
CCNK	10	6.4547e-03	0.605373
HNRNPUL1	10	6.4547e-03	0.605373
CCNC	10	6.4547e-03	0.605373
ERBB2IP	10	6.4547e-03	0.605373
DMPK	10	6.4547e-03	0.605373
SAMD4B	10	6.4547e-03	0.605373
DAXX	10	6.4547e-03	0.605373
MAP2K1	10	6.4547e-03	0.605373
NLK	10	6.4547e-03	0.605373
RAD51B	10	6.4547e-03	0.605373
HOXA7	10	6.4547e-03	0.605373
DDB1	10	6.4547e-03	0.605373
RPL13A	52	6.4672e-03	0.605373
ZMYND8	10	6.7009e-03	0.605715
GSK3A	10	6.7009e-03	0.605715
ZXDA	10	6.7009e-03	0.605715
PRKG2	10	6.7009e-03	0.605715
ZSWIM7	10	6.7536e-03	0.605715
SKA1	10	6.7536e-03	0.605715
POLDIP3	10	6.7536e-03	0.605715
ETV6	10	6.7536e-03	0.605715
HNRNPF	10	6.7536e-03	0.605715
CSNK2B	10	6.7536e-03	0.605715
SUGP1	10	6.7536e-03	0.605715
HELQ	10	6.7536e-03	0.605715
ZNF718	10	7.3681e-03	0.635602
PRIM2	10	7.3681e-03	0.635602
KIF2C	10	7.3681e-03	0.635602
DHX15	10	7.3681e-03	0.635602
ALPK1	10	7.3681e-03	0.635602
SARNP	10	7.3681e-03	0.635602
FAM126B	10	7.3681e-03	0.635602
SDCBP	10	7.3681e-03	0.635602
RPL35	29	7.4550e-03	0.635602
PIM1	10	7.6075e-03	0.635602
C19orf70	10	7.6075e-03	0.635602
TMEM35	10	7.6075e-03	0.635602
LBX1	10	7.6075e-03	0.635602
FAM134B	10	7.6075e-03	0.635602
TUBGCP4	10	7.6075e-03	0.635602
ULK3	10	7.8352e-03	0.635602
KIAA1045	10	7.8352e-03	0.635602
DDX23	10	7.8352e-03	0.635602
CST3	10	7.8352e-03	0.635602
CTDP1	10	7.8352e-03	0.635602
YEATS4	10	7.8352e-03	0.635602
PTGDS	10	7.8755e-03	0.635602
CBFA2T2	10	7.8755e-03	0.635602
KDM8	10	7.8755e-03	0.635602
KDM2B	10	7.8755e-03	0.635602
DYNC1LI1	10	7.8755e-03	0.635602
SIRT6	10	7.8755e-03	0.635602
SUV39H1	10	7.8755e-03	0.635602
ADCK4	10	7.8755e-03	0.635602
PHB2	10	7.8755e-03	0.635602
CTCF	10	8.6111e-03	0.676340
CEBPZ	10	8.6111e-03	0.676340
RFC5	10	8.6111e-03	0.676340
FUS	10	8.6111e-03	0.676340
PAK1IP1	10	8.6111e-03	0.676340
PSMB4	10	8.6111e-03	0.676340
DGCR14	10	9.0892e-03	0.694618
RBMS2	10	9.0892e-03	0.694618
PCGF3	10	9.0892e-03	0.694618
FGF10	10	9.0892e-03	0.694618
JMJD6	10	9.0892e-03	0.694618
CSNK1A1	10	9.0892e-03	0.694618
MEF2D	10	9.0892e-03	0.694618
RRM2	10	9.0892e-03	0.694618
RNMT	10	9.5615e-03	0.706819
SAMD11	10	9.5615e-03	0.706819
ZNF831	10	9.5615e-03	0.706819
CCDC94	10	9.5615e-03	0.706819
HAUS7	10	9.5615e-03	0.706819
KAT6B	10	9.5615e-03	0.706819
MIB1	10	9.5615e-03	0.706819
CLP1	10	9.5615e-03	0.706819
SOX12	10	9.5615e-03	0.706819
MTRR	10	9.5615e-03	0.706819
RPS7	36	9.6030e-03	0.706819
HSPA5	10	9.7005e-03	0.706819
ANAPC5	10	9.7005e-03	0.706819
SRRT	10	9.7005e-03	0.706819
EMC2	10	9.7005e-03	0.706819
C8orf22	10	9.9555e-03	0.706819
AXIN2	10	9.9555e-03	0.706819
SMG1	10	9.9555e-03	0.706819
ORC3	10	9.9555e-03	0.706819
ADD3	10	9.9555e-03	0.706819
C4orf21	10	9.9555e-03	0.706819
CSNK1G3	10	9.9555e-03	0.706819
ANAPC15	10	9.9555e-03	0.706819
NOL10	10	9.9555e-03	0.706819
C11orf95	10	9.9555e-03	0.706819
RPL38	6	1.0245e-02	0.721935
SMYD1	10	1.0503e-02	0.727407
TUBB	10	1.0503e-02	0.727407
ING2	10	1.0503e-02	0.727407
WBSCR22	10	1.0503e-02	0.727407
APRT	10	1.0503e-02	0.727407
RCC1	10	1.0503e-02	0.727407
IRF2BP1	10	1.0863e-02	0.743074
STK39	10	1.0863e-02	0.743074
MED7	10	1.0863e-02	0.743074
NRBP1	10	1.0863e-02	0.743074
RPL34	17	1.1608e-02	0.746831
ASUN	10	1.1630e-02	0.746831
PFDN5	10	1.1630e-02	0.746831
HIRA	10	1.1630e-02	0.746831
DOT1L	10	1.1630e-02	0.746831
CDCA4	10	1.2048e-02	0.746831
TMEM132A	10	1.2048e-02	0.746831
RACGAP1	10	1.2048e-02	0.746831
GCHFR	10	1.2048e-02	0.746831
WDR13	10	1.2160e-02	0.746831
NSD1	10	1.2160e-02	0.746831
PDE1B	10	1.2160e-02	0.746831
S100B	10	1.2160e-02	0.746831
PPP4C	10	1.2160e-02	0.746831
YPEL3	10	1.2262e-02	0.746831
UPF1	10	1.2262e-02	0.746831
AP3B2	10	1.2262e-02	0.746831
ANAPC4	10	1.2262e-02	0.746831
SNRPC	10	1.2262e-02	0.746831
VASH1	10	1.2262e-02	0.746831
TLE3	10	1.2262e-02	0.746831
EXO1	10	1.2262e-02	0.746831
TBX5	10	1.2262e-02	0.746831
MLLT1	10	1.2262e-02	0.746831
H2AFX	10	1.2262e-02	0.746831
SMEK1	10	1.2262e-02	0.746831
FAM71E1	10	1.2262e-02	0.746831
ZC2HC1C	10	1.2262e-02	0.746831
USF1	10	1.2262e-02	0.746831
PA2G4	10	1.2262e-02	0.746831
NXN	10	1.2262e-02	0.746831
RPN2	10	1.2262e-02	0.746831
APEX1	10	1.2262e-02	0.746831
TOP3A	10	1.2262e-02	0.746831
RAG1	10	1.2262e-02	0.746831
PPP5C	10	1.2262e-02	0.746831
BMI1	10	1.2262e-02	0.746831
GEMIN2	10	1.2262e-02	0.746831
HOXB3	10	1.2262e-02	0.746831
C7orf29	10	1.2262e-02	0.746831
RBBP8	10	1.2262e-02	0.746831
GAS2L2	10	1.2262e-02	0.746831
LUC7L2	10	1.2262e-02	0.746831
RNF187	10	1.2262e-02	0.746831
MAPK3	10	1.2262e-02	0.746831
RANGAP1	10	1.2262e-02	0.746831
ANG	10	1.3001e-02	0.758349
MTDH	10	1.3001e-02	0.758349
TRIB3	10	1.3001e-02	0.758349
ZNF287	10	1.3001e-02	0.758349
ELF1	10	1.3001e-02	0.758349
BIRC5	10	1.3001e-02	0.758349
TYMS	10	1.3001e-02	0.758349
NELFE	10	1.3001e-02	0.758349
PIK3C3	10	1.3001e-02	0.758349
C2orf68	10	1.3001e-02	0.758349
PRKCZ	10	1.3001e-02	0.758349
CHEK1	10	1.3001e-02	0.758349
PHIP	10	1.3001e-02	0.758349
C1orf158	10	1.3533e-02	0.758349
KHSRP	10	1.3533e-02	0.758349
RFC3	10	1.3533e-02	0.758349
PSMC3IP	10	1.3533e-02	0.758349
CIZ1	10	1.3720e-02	0.758349
EMC8	10	1.3720e-02	0.758349
FES	10	1.3720e-02	0.758349
ERCC8	10	1.3720e-02	0.758349
PSRC1	10	1.3720e-02	0.758349
NUMA1	10	1.3720e-02	0.758349
ZBTB25	10	1.3720e-02	0.758349
ZSCAN2	10	1.3720e-02	0.758349
MOS	10	1.3720e-02	0.758349
FAM32A	10	1.3720e-02	0.758349
TOX	10	1.3720e-02	0.758349
ORC6	10	1.3720e-02	0.758349
UHRF1	10	1.3977e-02	0.758349
UFL1	10	1.3977e-02	0.758349
STRIP1	10	1.3977e-02	0.758349
CDC7	10	1.3977e-02	0.758349
STAT5A	10	1.3977e-02	0.758349
TGFB1I1	10	1.3977e-02	0.758349
CELF6	10	1.3977e-02	0.758349
STK38L	10	1.3977e-02	0.758349
RPL21	25	1.4991e-02	0.758349
POLR2B	10	1.5109e-02	0.758349
PLEKHA7	10	1.5109e-02	0.758349
SCAF1	10	1.5109e-02	0.758349
C17orf66	10	1.5109e-02	0.758349
RIOK1	10	1.5109e-02	0.758349
TRMT6	10	1.5109e-02	0.758349
EXOSC2	10	1.5109e-02	0.758349
CTDSP1	10	1.5109e-02	0.758349
ACIN1	10	1.5109e-02	0.758349
ANP32B	10	1.5109e-02	0.758349
FOXP4	10	1.5109e-02	0.758349
NFATC2	10	1.5627e-02	0.758349
BRD7	10	1.5627e-02	0.758349
RLIM	10	1.5627e-02	0.758349
WDR46	10	1.5627e-02	0.758349
NVL	10	1.5627e-02	0.758349
PSMF1	10	1.5627e-02	0.758349
AMIGO2	10	1.5627e-02	0.758349
UTP18	10	1.5627e-02	0.758349
RBBP4	10	1.6471e-02	0.758349
BCL6B	10	1.6471e-02	0.758349
HNRNPH1	10	1.6471e-02	0.758349
CTBP2	10	1.6471e-02	0.758349
BNC1	10	1.6471e-02	0.758349
SMARCAL1	10	1.6471e-02	0.758349
PAPOLG	10	1.6471e-02	0.758349
TTN	10	1.6471e-02	0.758349
RPS14	30	1.6687e-02	0.758349
SDR9C7	10	1.6696e-02	0.758349
EHD2	10	1.6696e-02	0.758349
FAM183A	10	1.6696e-02	0.758349
TAF1A	10	1.6696e-02	0.758349
SIN3A	10	1.6696e-02	0.758349
TELO2	10	1.6696e-02	0.758349
RALB	10	1.6696e-02	0.758349
GIGYF2	10	1.6696e-02	0.758349
C11orf45	10	1.6696e-02	0.758349
TUBB4A	10	1.6696e-02	0.758349
USP15	10	1.6696e-02	0.758349
CPSF3L	10	1.6696e-02	0.758349
TXNL4A	10	1.6873e-02	0.758349
ZNHIT3	10	1.6873e-02	0.758349
KIF11	10	1.6873e-02	0.758349
FABP7	10	1.6873e-02	0.758349
CXorf56	10	1.6873e-02	0.758349
NUDT21	10	1.6873e-02	0.758349
FTSJ3	10	1.6873e-02	0.758349
EP400	10	1.6873e-02	0.758349
AHR	10	1.6873e-02	0.758349
NGDN	10	1.6873e-02	0.758349
PPARGC1A	10	1.6873e-02	0.758349
RET	10	1.6873e-02	0.758349
ZZEF1	10	1.6873e-02	0.758349
C3orf37	10	1.6873e-02	0.758349
CLTC	10	1.6873e-02	0.758349
RPL27A	32	1.7640e-02	0.758349
RPL18A	46	1.7705e-02	0.758349
POLD2	10	1.7755e-02	0.758349
C8orf31	10	1.7755e-02	0.758349
SNAP29	10	1.7755e-02	0.758349
PINX1	10	1.7755e-02	0.758349
ZNF276	10	1.7755e-02	0.758349
CDCA7	10	1.7755e-02	0.758349
FZR1	10	1.7755e-02	0.758349
TTF2	10	1.7755e-02	0.758349
RBM14	10	1.7755e-02	0.758349
KPNA2	10	1.8608e-02	0.758349
TNK2	10	1.8608e-02	0.758349
RELB	10	1.8608e-02	0.758349
SOX18	10	1.8608e-02	0.758349
RDH10	10	1.8608e-02	0.758349
ZFP36L2	10	1.8608e-02	0.758349
PIDD	10	1.8608e-02	0.758349
EPB41	10	1.8608e-02	0.758349
NCAPH	10	1.8608e-02	0.758349
MPHOSPH10	10	1.8608e-02	0.758349
SFI1	10	1.8608e-02	0.758349
ELF2	10	1.8608e-02	0.758349
RPL6	44	1.8763e-02	0.758349
SBDS	10	1.9211e-02	0.758349
SNRPD2	10	1.9211e-02	0.758349
IQGAP3	10	1.9211e-02	0.758349
INCA1	10	1.9211e-02	0.758349
BACH1	10	1.9211e-02	0.758349
RASL11A	10	1.9211e-02	0.758349
RING1	10	1.9211e-02	0.758349
ZNF771	10	1.9211e-02	0.758349
POC5	10	1.9211e-02	0.758349
NUBP2	10	1.9211e-02	0.758349
FAM76B	10	1.9644e-02	0.758349
C5orf15	10	1.9644e-02	0.758349
EPHA1	10	1.9644e-02	0.758349
NEK2	10	1.9644e-02	0.758349
RPP38	10	1.9644e-02	0.758349
TFAP4	10	1.9644e-02	0.758349
GPATCH1	10	1.9644e-02	0.758349
PAK2	10	1.9644e-02	0.758349
ATRIP	10	1.9644e-02	0.758349
CCDC70	10	1.9644e-02	0.758349
ULK2	10	1.9644e-02	0.758349
PARD3B	10	1.9644e-02	0.758349
TMEM150C	10	1.9644e-02	0.758349
NUFIP1	10	1.9644e-02	0.758349
LIN28A	10	1.9644e-02	0.758349
CBR3	10	1.9644e-02	0.758349
DNAJC7	10	1.9644e-02	0.758349
EIF5A2	10	1.9644e-02	0.758349
MAP3K14	10	1.9644e-02	0.758349
C15orf39	10	1.9644e-02	0.758349
CTC1	10	1.9644e-02	0.758349
SNX27	10	1.9644e-02	0.758349
LTA4H	10	1.9644e-02	0.758349
MAPKAPK5	10	1.9644e-02	0.758349
TP53RK	10	1.9644e-02	0.758349
ELAC1	10	1.9644e-02	0.758349
YY1	10	1.9644e-02	0.758349
NCL	10	2.0053e-02	0.758349
MED20	10	2.0053e-02	0.758349
MAP4K2	10	2.0053e-02	0.758349
POLR1B	10	2.0674e-02	0.758349
FBXO18	10	2.0674e-02	0.758349
FBL	10	2.0674e-02	0.758349
DYRK1B	10	2.0674e-02	0.758349
ARID4A	10	2.0674e-02	0.758349
PPAN	10	2.0674e-02	0.758349
RFC4	10	2.0674e-02	0.758349
NFIA	10	2.0674e-02	0.758349
RAC2	10	2.0674e-02	0.758349
RAD21	10	2.0674e-02	0.758349
RPL37A	16	2.1555e-02	0.758349
MNAT1	10	2.2282e-02	0.758349
HNRNPH3	10	2.2282e-02	0.758349
CLASRP	10	2.2282e-02	0.758349
C6orf57	10	2.2282e-02	0.758349
SUN3	10	2.2282e-02	0.758349
SIK1	10	2.2282e-02	0.758349
RAB11FIP2	10	2.2282e-02	0.758349
PYGO2	10	2.2282e-02	0.758349
SRSF7	10	2.2282e-02	0.758349
TMEM100	10	2.2282e-02	0.758349
SPR	10	2.2557e-02	0.758349
PPRC1	10	2.2557e-02	0.758349
CSTF2	10	2.2557e-02	0.758349
CACNA1A	10	2.2557e-02	0.758349
RAB11A	10	2.2557e-02	0.758349
RPL4	68	2.2599e-02	0.758349
KIAA1024	10	2.4737e-02	0.758349
CCDC138	10	2.4737e-02	0.758349
TMEM8C	10	2.4737e-02	0.758349
SLX4	10	2.4737e-02	0.758349
IQSEC1	10	2.4737e-02	0.758349
